long1,lat,id1,statename,pcname,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,party1,sex_ratio_e,f_vote_turnout,m_vote_turnout,color,l_t,l_t1
78.551529,17.530567,43,Andhra Pradesh,Malkajgiri,1723261,1459417,3183083,877156,741285,1618441,TDP,847,50.799999,50.900002,yellow,10,13.469517
77.533081,12.981676,196,Karnataka,Bangalore North,1260356,1140751,2401472,720898,634569,1355485,BJP,905,55.599998,57.200001,#E69F19,10,10.162056
77.505547,28.709057,432,Uttar Pradesh,Ghaziabad,1333055,1024455,2357553,781962,559856,1341818,BJP,769,54.599998,58.700001,#E69F19,10,9.9762087
77.070831,28.767876,114,NCT OF Delhi,NORTH WEST DELHI,1212516,981633,2194343,757777,595362,1353181,BJP,810,60.700001,62.5,#E69F19,10,9.2855701
77.316238,12.7359,194,Karnataka,Bangalore Rural,1135853,1054284,2190398,758651,696340,1455003,INC,928,66,66.800003,#04C4FC,10,9.2688761
77.985161,17.260582,8,Andhra Pradesh,CHELVELLA,1153061,1031897,2185164,695012,617108,1312120,TRS,895,59.799999,60.299999,#ff3399,10,9.2467279
80.564621,26.608021,490,Uttar Pradesh,Unnao,1194394,969919,2164392,673666,526266,1199936,BJP,812,54.299999,56.400002,#E69F19,10,9.1588297
75.782021,22.80172,237,Madhya Pradesh,INDORE,1106595,1008635,2115303,736204,579670,1315896,BJP,911,57.5,66.5,#E69F19,10,8.9511042
72.896347,19.267996,300,Maharashtra,Thane,1141737,931467,2073251,590956,462684,1053658,SHS,816,49.700001,51.799999,#EC5B13,10,8.7731571
76.995346,28.587568,113,NCT OF Delhi,WEST DELHI,1108886,930409,2039410,742213,603424,1345645,BJP,839,64.900002,66.900002,#E69F19,10,8.6299562
77.593437,12.92433,208,Karnataka,Bangalore South,1050737,947667,1998724,596688,516207,1112914,BJP,902,54.5,56.799999,#E69F19,10,8.4577894
77.662315,28.355934,498,Uttar Pradesh,Gautam Buddha Nagar,1105732,880377,1986109,707052,491342,1198394,BJP,796,55.799999,63.900002,#E69F19,10,8.4044075
79.844933,27.975739,439,Uttar Pradesh,Shahjahanpur,1100020,879139,1979294,663380,464707,1128087,BJP,799,52.900002,60.299999,#E69F19,10,8.3755693
75.738571,26.823692,370,Rajasthan,Jaipur,1047469,910349,1957820,714851,578288,1293139,BJP,869,63.5,68.199997,#E69F19,10,8.2847004
77.236855,28.722105,116,NCT OF Delhi,NORTH EAST DELHI,1079407,878183,1957708,738979,574789,1313796,BJP,814,65.5,68.5,#E69F19,10,8.2842264
77.330696,23.46018,246,Madhya Pradesh,BHOPAL,1039153,918021,1957241,639634,490428,1130069,BJP,883,53.400002,61.599998,#E69F19,10,8.2822504
73.37529,18.871851,278,Maharashtra,Maval,1035961,917770,1953741,646904,527044,1173949,SHS,886,57.400002,62.400002,#EC5B13,10,8.2674398
85.455864,25.220821,80,Bihar,Nalanda,1036575,915392,1951967,503039,418609,921648,JD(U),883,45.700001,48.5,red,10,8.2599325
80.933548,26.861111,492,Uttar Pradesh,Lucknow,1052171,897693,1949956,580513,450547,1031060,BJP,853,50.200001,55.200001,#E69F19,10,8.2514229
