a,t_voted
Others-Punjab-Patiala,365671
Others-Punjab-Fatehgarh Sahib,367293
Others-Punjab-Faridkot,450751
Others-Punjab-Sangrur,533237
Others-Uttar Pradesh-Pratapgarh,375789
Others-Uttar Pradesh-Mirzapur,436536
ADMK-Tamil Nadu-Chennai central,333296
ADMK-Tamil Nadu-Thoothukkudi,366052
ADMK-Tamil Nadu-Vellore,383719
ADMK-Tamil Nadu-Tirunelveli,398139
ADMK-Tamil Nadu-Ramanathapuram,405945
ADMK-Tamil Nadu-Virudhunagar,406694
ADMK-Tamil Nadu-Chennai North,406704
ADMK-Tamil Nadu-Pollachi,417092
ADMK-Tamil Nadu-Tenkasi,424586
ADMK-Tamil Nadu-Chidambaram,429536
ADMK-Tamil Nadu-Coimbatore,431717
ADMK-Tamil Nadu-Nagapattinam,434174
ADMK-Tamil Nadu-Chennai South,434540
ADMK-Tamil Nadu-Tiruppur,442778
ADMK-Tamil Nadu-Madurai,453785
ADMK-Tamil Nadu-Tiruchirappalli,458478
ADMK-Tamil Nadu-Perambalur,462693
ADMK-Tamil Nadu-Nilgiris,463700
ADMK-Tamil Nadu-Erode,466995
ADMK-Tamil Nadu-Sivaganga,475993
ADMK-Tamil Nadu-Krishnagiri,480491
ADMK-Tamil Nadu-Cuddalore,481429
ADMK-Tamil Nadu-Viluppuram,482704
ADMK-Tamil Nadu-Arakkonam,493534
ADMK-Tamil Nadu-Kancheepuram,499395
ADMK-Tamil Nadu-Tiruvannamalai,500751
ADMK-Tamil Nadu-Arani,502721
ADMK-Tamil Nadu-Thanjavur,510307
ADMK-Tamil Nadu-Dindigul,510462
ADMK-Tamil Nadu-Mayiladuthurai,513729
ADMK-Tamil Nadu-Kallakurichi,533383
ADMK-Tamil Nadu-Karur,540722
ADMK-Tamil Nadu-Sriperumbudur,545820
ADMK-Tamil Nadu-Salem,556546
ADMK-Tamil Nadu-Namakkal,563272
ADMK-Tamil Nadu-Theni,571254
ADMK-Tamil Nadu-Thiruvallur,628499
Others-Andhra Pradesh-Hyderabad,513868
Others-Puducherry-Puducherry,255826
AITC-West Bengal-Kolkata Uttar,343687
AITC-West Bengal-Alipurduars,362453
AITC-West Bengal-Balurghat,409641
AITC-West Bengal-Kolkata Dakshin,431715
AITC-West Bengal-Krishnanagar,438789
AITC-West Bengal-Birbhum,460568
AITC-West Bengal-Purulia,468277
AITC-West Bengal-Barrackpore,479206
AITC-West Bengal-Dum dum,483244
AITC-West Bengal-Bankura,483455
AITC-West Bengal-Howrah,488461
AITC-West Bengal-Basirhat,492326
AITC-West Bengal-Joynagar,494746
AITC-West Bengal-Jalpaiguri,494773
AITC-West Bengal-Diamond harbour,508481
AITC-West Bengal-Srerampur,514933
AITC-West Bengal-Barasat,525387
AITC-West Bengal-Cooch behar,526499
AITC-West Bengal-Bangaon,551213
AITC-West Bengal-Burdwan   durgapur,554521
AITC-West Bengal-Uluberia,570785
AITC-West Bengal-Bardhaman Purba,574560
AITC-West Bengal-Bishnupur,578870
AITC-West Bengal-Medinipur,580441
AITC-West Bengal-Jadavpur,584244
AITC-West Bengal-Ranaghat,590451
AITC-West Bengal-Hooghly,614312
AITC-West Bengal-Mathurapur,630262
AITC-West Bengal-Bolpur,630693
AITC-West Bengal-Jhargram,674504
AITC-West Bengal-Kanthi,676749
AITC-West Bengal-Ghatal,685696
AITC-West Bengal-Tamluk,716928
AITC-West Bengal-Arambagh,748764
Others-Assam-Karimganj,362866
Others-Assam-Barpeta,394702
Others-Assam-Dhubri,592569
BJP-Andaman & Nicobar Islands-Andaman & Nicobar Islands,90969
BJP-Andhra Pradesh-Secundrabad,438271
BJP-Andhra Pradesh-Narsapuram,540306
BJP-Andhra Pradesh-Visakhapatnam,566832
BJP-Arunachal Pradesh-ARUNACHAL WEST,169367
BJP-Assam-Tezpur,446511
BJP-Assam-Jorhat,456420
BJP-Assam-Mangaldoi,486357
BJP-Assam-Nowgong,494146
BJP-Assam-Dibrugarh,494364
BJP-Assam-Lakhimpur,612543
BJP-Assam-Gauhati,764985
BJP-Bihar-Aurangabad,307941
BJP-Bihar-Darbhanga,314949
BJP-Bihar-Ujiarpur,317352
BJP-Bihar-Buxar,319012
